country,population,gdppc,co2_emission
Cameroon,23.298368,3.4586939003965798,0.340283662787024
China,1371.22,12.691943582748799,7.39852456644448
Colombia,47.520667,14.2375838137359,1.98039913875788
Costa Rica,4.847804,18.0244919696438,1.54991476553095
Cabo Verde,0.524743,6.26684595028906,0.94340467619387
Curacao,0.15798,26.5487000044222,40.481377389543
Cyprus,1.160985,34.3755637176701,5.28737063786354
Czech Republic,10.546059,36.1669931624967,9.468220308648
Germany,81.686611,51.2090864620046,8.90041929882487
Djibouti,0.91399300000000006,4.48882721398241,0.686063241184561
Denmark,5.683483,53.0189324912058,5.4222855949424
Dominica,0.071183,11.8724073907693,2.47272522933847
Dominican Republic,10.28168,15.3283520547721,2.34749515643358
Algeria,39.728025,11.5107537354979,3.85455657561633
Ecuador,16.21202,11.8963766290296,2.66904432637019
Estonia,1.315407,31.2090979746975,12.4388527657219
"Egypt, Arab Rep.",92.442547,10.570445460790799,2.42941973461636
Spain,46.444832,37.450917223739594,5.39341894917394
Ethiopia,100.835458,1.7790840231997098,0.136045863945994
Finland,5.479531,45.072747835620596,7.77564229493364
Fiji,0.868627,12.5526497907263,2.48230368155722
"Micronesia, Fed. Sts.",0.108895,3.4556495408363896,1.31331098764865
Gabon,1.947686,15.5089717233787,2.70174196456718
United Kingdom,65.116219,44.9128257998092,6.22023961495676
Grenada,0.109599,15.142615205513101,2.37554174764368
Georgia,3.725276,12.6051400698178,2.63020082270414
Ghana,27.849205,4.67043162289555,0.594373807079951
"Gambia, The",2.08586,2.05865814621739,0.251397984524369
Guinea,11.432088,2.08967603356855,0.23640292132111
Equatorial Guinea,1.168568,28.313602763071298,5.15891929267274
Greece,10.820883,28.536846508985303,6.01244038956895
Guatemala,15.567419,8.125364878272501,1.01713109925287
Guinea-Bissau,1.737202,1.80006856242958,0.160425788135174
Guyana,0.767432,8.604132383331232,2.62805043313284
Honduras,9.112916,5.2834099563106305,1.09934558817397
Croatia,4.203604,24.4494667091794,4.11834868365336
Haiti,10.695542,1.76432789461736,0.274282500129493
Hungary,9.843028,27.541453499224097,4.51267343748286
Indonesia,258.383256,10.1496039093064,1.98445241358829
Ireland,4.701957,71.2434208710382,7.63666362750659
Israel,8.3801,37.6334458742607,7.90058412190785
India,1310.152403,5.45434710439413,1.78433376502382
Iraq,35.572261,10.3106800219562,4.70236828634536
"Iran, Islamic Rep.",78.492215,12.698109702007699,8.28207518414406
